2018-11-25T21:11:59,"This deal is pragmatic. It respects result of ref,protects jobs,ends freedom of movement,and gives new freedoms for fishing and agriculture. There are risks with either acceptance or rejection. Overall, on my balanced judgement - I believe it is in the national interesthttps://twitter.com/bimafolami/status/1066733157532217346 …"
2018-11-25T16:39:38,"I back the PM’s deal. This is delivering on the referendum, supporting business, the economy, security and our future overall.  #BackTheBrexitDealhttps://twitter.com/10DowningStreet/status/1066464212564811776 …"
2018-11-24T21:54:43,"The clearest, firmest support EVER by a British Prime Minister iro #Gibraltar by @theresa_may.  Also the most timely.  Mrs May has fully supported us, our British sovereignty &amp; our economy.  She has never let us down! Her #WithdrawalAgreement works for us! @10DowningStreethttps://twitter.com/theresa_may/status/1066422950008680448 …"
2018-11-22T08:00:21,"#OnThisDay. 2003.

12:10 GMTpic.twitter.com/RYTpJJ4sDJ"
2018-11-19T08:12:53,Completely agree - my experience toohttps://twitter.com/AndrewBowieMP/status/1064428405926572033 …
2018-11-16T18:19:05,It could be worse..pic.twitter.com/AJZlpPhXTG
2018-11-16T11:19:21,I am truly dismayed at the dismal behaviour of some of my Colleagues parading their letters to Graham Brady on TV  in a vulgar and pathetic display of inferior virtue signalling #getagripwhatabouttheNationalInterest
2018-11-15T20:25:08,"Thought I’d change my profile pic for 24hrs til the trolls saying I’m anti-British, a traitor, spineless, a coward and everything else realise that a bad day at the office used to involve much worse than facing people that spend too much time on Twitter.pic.twitter.com/DB7lbcHuvj"
2018-11-06T17:08:47,@BimAfolami my local MP asked @MattHancock about the role of community pharmacists like me in preventing illness and promoting good health @BrineMinisterpic.twitter.com/OC3znkDCRK
2018-11-14T08:34:32,"If reports are right the Brexit deal text is up to 500 pages...we all need to be calm,take stock,carefully read the text first,then comment afterwards #BrexitDeal"
2018-11-12T17:26:19,The top 1% of earners pay 28% of all income tax says @MelJStride we have taken 4 million out of income tax altogether
2018-11-12T15:11:19,What an amazing evening at the Armistice Dinner @Hatfield_House in aid of the 3 service charities with so many from #Hertfordshire. Thanks to Lord &amp;Lady Salisbury and all the organising committee. Thought provoking words from Prof. Magaret MacMillan &amp; Gen. Sir Richard Barrons.pic.twitter.com/zAYZhESe4G
2018-11-12T13:09:25,Really important - please go if you can!https://twitter.com/NorthHertsDC/status/1061921909078667264 …
2018-11-11T10:35:08,Sometimes comedy just does it best https://twitter.com/BBCFOUR/status/1061544058957561858 …
